City,Restaurant,Price,Avg ratings,Total ratings,Delivery time
Bangalore,Church Street Social,500,4.2,100,38
Chennai,Southern Chinese Restaurant,400,3.9,500,61
Chennai,Olive And Basil,500,3.8,100,37
Bangalore,Punjabi Rasoi,800,4.1,1000,54
Hyderabad,Amaravathi Family Restaurant,500,4.1,500,69
Hyderabad,Spicy Hub,500,4,1000,51
Mumbai,Oasiss Cakes & Icecreams,150,3.9,50,42
Bangalore,Kfc,400,3.9,1000,53
Hyderabad,Papadams Blue,500,3.9,1000,53
Hyderabad,Papadams Restaurant,500,3.8,1000,54
Bangalore,Glen'S Bakehouse,500,4.3,100,34
Pune,Masemari - The Fishing,1000,2.9,80,39
Bangalore,Cafe Terra,299,4.3,100,54
Chennai,Sigree,700,4.4,100,67
Delhi,Nando'S,450,4.1,500,69
Mumbai,Faasos,200,4.2,100,35
Kolkata,Khichdi Khichri,350,4.3,100,63
Kolkata,Don Giovanni'S,1300,4.2,100,62
Bangalore,Chakum Chukum,400,4.3,1000,56
Bangalore,Waffle Magic,200,4.2,100,57
Mumbai,Dumpling Khang,250,3.7,100,42
Kolkata,Red Bamboo Shoot Restaurant,500,4.1,100,63
Kolkata,De Sovrani,800,2.9,80,64
Chennai,Chop 'N' Stix,500,4.3,100,77
Chennai,Abid'S,700,4.5,100,35
Hyderabad,Cafe Coffee Day,300,4.5,20,36
Hyderabad,Cafe Coffee Day,300,4.1,100,40
Delhi,Giri Momos Centre & Chinese Fast Food,300,3.9,100,46
Pune,Masala Mantra,500,4.3,20,73
Pune,Pizzarella,800,4,50,78
Pune,Golden Dragon,400,4.1,500,59
Pune,Bamboo House,1000,4,50,39
Kolkata,Bhojohori Manna,900,4.1,100,42
Kolkata,Anir'S,500,4.2,500,55
Mumbai,Hotel Dashmesh Punjab,500,2.9,80,38
Chennai,Chocolate Fantasy,200,4.1,20,64
Kolkata,Apu'S Kitchen Phool Bagan,300,4.2,1000,49
Kolkata,Little Pleasures - Loudon Street,300,4.6,100,48
Bangalore,Fresh Bites,200,4.1,500,53
Kolkata,Wow! Momo,300,4.3,100,38
Chennai,Chamiers Cafe,1000,4.5,50,66
Kolkata,The Sushi Oke,1000,3.5,50,83
Pune,Maurya Multi Cuisine Family Restaurant And Bar,1000,2.9,80,52
Pune,Akshay Court,550,2.9,80,60
Mumbai,Shiv Sagar,250,4.4,500,56
Pune,Faasos,200,4.3,100,30
Pune,Cafe India,200,4.3,100,70
Chennai,Zuka,800,4.5,100,64
Chennai,Parambriym,600,4.2,20,63
Kolkata,Masala Wok Bar & Kitchen,600,2.9,80,45
Kolkata,Aatithya,400,2.9,80,75
Kolkata,Red Kitchen & Lounge,1000,4,20,82
Kolkata,Red Hot Chilli Pepper,1000,4.4,100,62
Kolkata,The Howrah Bridge,250,4.2,100,77
Delhi,Dimsum Vs Sushi,1100,4,100,71
Mumbai,Rk Wine And Dine,700,4.3,100,53
Bangalore,Sultans Of Spice,599,4.3,50,60
Bangalore,Nandhana Palace,500,4.1,500,58
